STRAIN,SPECIES,GENOTYPE,COMMENTS,FROM,OTHER NAMES
JU123,Oscheius tipulae,egl(mf63),"Outcrossed 3x to CEW1, 1x to PS2428 (sy457). Strong penetrant Egl. Nomarski wt vulva (rarely excess of divisions P(5-7).p?)",MAF,22.16.16
JU124,Oscheius tipulae,lin(mf84),"TMP-UV allele. Outcrossed 2x to CEW1, 1x to PS2428, 1x to CEW1. Excess vulval divisions??",MAF,27.3.8
JU125,Oscheius tipulae,lin(mf84); unc-4(sy457),,MAF,
JU126,Oscheius tipulae,cov-12(mf85),"TMP-UV allele. Outcrossed 3x to CEW1, 1x to PS2428 (sy457). Strong Egl. Vulva centered on P7.p. Abnormal tail. Louvet-Vall_e et al. Genetics 2003.",MAF,27.43.1
JU127,Oscheius tipulae,dov-11(mf58); unc-6(sy474),,MAF,
PS2538,Oscheius tipulae,egl(sy479),"Outcrossed 2x to CEW1, 1x to PS2371 (sy455), 2x ˆ CEW1. Strong Egl, Nomarski vulva OK.",MAF,4.23.5
JB56,Pseudoacrobeles variabilis,wild isolate,"Males + females. Frozen with protocol for cephalobs. Culture on regular plates, or 1% agar in H2O with cholesterol. F_lix et al. Dev. Biol. 2000.",Paul De Ley,
PS2375,Oscheius tipulae,dov-3(sy449),"Outcrossed 3x to CEW1. P4.p, P8.p S or SS. cf Dichtel et al. Genetics 2001.",MAF,1.1.11
JU128,Oscheius tipulae,dpy(mf100),Spontaneous Dpy. Autosomal.,MAF,
PS2621,Oscheius tipulae,lin(sy522),"Outcrossed 1x to CEW1. Missing Pn.ps, defect in Pn division?",Mark Viney,13.55.7
PS2662,Oscheius tipulae,dpy(sy536),Outcrossed 5x to CEW1. ,Mark Viney,13.38.2
JU130,Oscheius tipulae,dov-12(mf68); unc-4(sy457),Grow below 25¡C.,MAF,
PS2585,Oscheius tipulae,dpy(sy500),"Not shorter than wt, but fat. Outcrossed 5x to CEW1.",MAF,9.8.5
JU131,Oscheius tipulae,unc-2(mf29); con-1(sy462),,MAF,
JU132,Oscheius tipulae,cov-11(mf71),Outcrossed 3x to CEW1. Centering of the vulva on P7.p. Sterility. Louvet-Vall_e et al. Genetics 2003.,MAF,25.36.2
JU133,Family Rhabditidae,wild isolate,"Resembles Oscheius myriophila?? Hawaii 3.3, Aug 99. Pololu Valley. Hermaphrodites.",MAF,3.3
JU134,Oscheius tipulae,wild isolate,"Hawaii 3.2, Aug 99, Pololu Valley. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",MAF,3.2
JU135,Oscheius tipulae,unc-5(mf42); dpy-6(sy518),,G_raldine Maro,
JU136,Oscheius tipulae,wild isolate,"Hawaii 1.1, Aug 99, Io Valley, Maui. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",MAF,1.1
PS2619,Oscheius tipulae,lin(sy520),"Abnormal uterus/vulva contact. Outcrossed 1x to CEW1, 1x to PS2533 (sy474), 1x to CEW1.",MAF,10.29.1
JU137,Oscheius tipulae,unc-5(mf42); dpy-3(sy471),,G_raldine MARO,
PS2593,Oscheius tipulae,dov-16(sy508),Precocious heterochronic. Dichtel et al. Genetics 2001. Outcrossed 1x to CEW1.,MAF,11.41.7
JU138,Pristionchus pacificus,wild isolate,"Hermaphrodites + males. Hawaii, Aug 99, Pomaikai B&B, Coffee farm in Captain Cook.",MAF,2.2
PS2537,Oscheius tipulae,dov-16(sy478),Precocious heterochronic. Dichtel et al. Genetics 2001. Outcrossed 2x to CEW1.,MAF,3.5.3
JU139,Oscheius tipulae,egl(16.1.3),Obtained after an injection. Recessive.,MAF,Ô16.1.3Õ
JU141,Family Rhabdtidae,wild isolate,"Hermaphrodites. Hawaii 1.3 , Io Valley, Maui, Aug 99.",MAF,1.3
JU142,Oscheius tipulae,wild isolate,"Hawaii 2.1, Aug 99, Big Island,  Pomaikai Bed and Breakfast. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.  ",MAF,Hawaii 2.1
PS2618,Oscheius tipulae,lin(sy519),Duplication of Pn.ps. Outcrossed 1X to CEW1.,MAF,9.26.9
JU143,Oscheius tipulae,cov-12(mf85); dpy(mf36),,MAF ,
JU144,Oscheius tipulae,dov-1(sy543); unc-6(sy474),,Sophie Louvet-Vall_e,
JU145,Oscheius tipulae,cov-11(mf71); unc-2(mf29),,MAF,
JU146,Oscheius tipulae,dpy-6(sy518); cov-1(mf53),,Sophie Louvet-Vall_e,
PS2568,Oscheius tipulae,lin(sy496),P(4-8).p division defect? Outcrossed 1x to CEW1.,MAF,11.30.1
KR3021,Rhabditophanes sp.,wild isolate,Parthenogenetic. Keep at  18¡C. F_lix et al. Dev. Biol. 2000.,"Ann Rose, sent by Paul De Ley",
PS2569,Oscheius tipulae,lin(sy497),Pn.p die. Outcrossed 1x to CEW1,MAF,
JU147,Oscheius tipulae,unc-2(mf29); dov-4(sy451),,Sophie Louvet-Vall_e,
JU148,Oscheius tipulae,dov-4(sy451),Outcrossed 3x. Dichtel et al. Genetics 2001.,Sophie Louvet-Vall_e,
JU149,Oscheius tipulae,wild isolate,"Madagascar, Antanarivo, Sep 99. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Marie Delattre,MAD 1
JU150,Pristionchus sp.,wild isolate,"Madagascar, Antanarivo.",Marie Delattre,MAD 2
JU151,Oscheius tipulae,unc-2(mf29); dov-4(sy464),,Sophie Louvet-Vall_e,
JU152,Oscheius tipulae,dov-4(sy464),Outcrossed 3x. Dichtel et al. Genetics 2001.,Sophie Louvet-Vall_e,
JU153,Oscheius tipulae,unc-2(mf29); cov-4(sy493),,Sophie Louvet-Vall_e,
SB200,Poikilolaimus oxycerca,wild isolate,"Males + females. Slow growth. Contaminating bacteria. Delattre & F_lix, Dev. Biol. 01.",W. Sudhaus through David FITCH,
DF5048,Acrobeloides maximus,wild isolate,"Parthenogenetic. Frozen with the protocol for cephalobs. F_lix et al. Dev. Biol. 2000, Delattre & F_lix, Dev. Biol. 01.",Paul de Ley,
PS1017,Oscheius dolichura,wild isolate,"Hermaphrodites + males. Him.P4.p and P8.p  SS. Delattre & F_lix, Curr. Biol. 2001. From Pasadena, CA, 1990.",Lynn Carta,
PS1173,Oscheius dolichura,wild isolate,"Hermaphrodites + males. Him.P4.p and P8.p  SS. Delattre & F_lix, Curr. Biol. 2001. F_lix et al. Nematology 2001. From Chapell Hill, N Carolina, Jun 92 (NC II).",Lynn Carta,
PS1191,Rhabditis sp.,wild isolate,Hermaphrodites.,Lynn Carta,ÒFijiensisÓ
PS2069,Oscheius tipulae,wild isolate,"Washington State. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Lynn Carta,
PS2557,Oscheius tipulae,unc-7(sy485) X,Outcrossed 5X to CEW1.,MAF,9.11.9
JU154,Oscheius tipulae,unc-2(mf29); dpy-3(sy471),,,
PS2587,Oscheius tipulae,lon-2(sy502) X,Outcrossed 5X to CEW1.,MAF,9.26.6
JU155,Oscheius tipulae,con-1(sy462); unc-3(mf43),,MAF,
JU156,Oscheius tipulae,unc-5(mf42); dpy-3(sy471),,MAF,
JU157,Oscheius tipulae,unc-5(mf42); dpy-6(sy518),,MAF,
JU160,Oscheius tipulae,unc-5(mf42) dpy-1(mf19),,MAF,
JU161,Oscheius tipulae,dpy-6(sy518); unc-7(sy485) X,,MAF,
JU162,Oscheius tipulae,iov-1(mf86),"TMP-UV allele. Homozygote. Fully Vulvaless. Vulval induction defect. Not outcrossed version (see JU272). Dichtel-Danjoy & F_lix, Dev. Biol. 2003.",Marie-Laure Dichtel,40-1-7
JU164,Oscheius tipulae,unc-5(mf42); dov-8(mf66),,Marie-Laure Dichtel,
JU165,Family Diplogastridae,wild isolate,"Garden in Bassemartimpr_ in the Vosges, France (soil from a molehill).",E. Pierre,nema 88
BW291 (aka PS1131),Oscheius tipulae,wild isolate,"Isolated in Tokyo by W . Wood. Sommer & Sternberg, Dev. Biol. 95, F_lix & Sternberg, Dev. 97, F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Lynn Carta,BW291 (priority over PS1131 but published as PS1131...)
SB128,Oscheius tipulae,wild isolate,"Isolated from Tipula larvae in Kiel, Germany. Sudhaus, Nematologica 93, F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001. ",Lynn Carta,PS1190
PS959,Oscheius tipulae,wild isolate,"New York City. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Lynn Carta,
BA1009,Oscheius tipulae,wild isolate,"Tucson. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.","W. Van Vorrhies & S. Ward, L. Carta","ÒTucsonÓ, JU166"
BC4783,Oscheius tipulae,wild isolate,"From sand on a beach (""Shell beach"")near Bamfield on the open Pacific Ocean side of Vancouver Island, British Columbia. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",A. Rose and D. Baillie through Caltech,PS2067
PS335,Oscheius sp. 2,wild isolate,"Southern California. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Lynn Carta,
PS1130,Rhabditis sp.,wild isolate,Hermaphrodites. Grows at 18-20¡C.,Lynn Carta,
PS1181,Oscheius tipulae,wild isolate,"Michigan. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Lynn Carta,
PS320,Oscheius tipulae,wild isolate,"Southern  California. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Lynn Carta,
JU167,Oscheius tipulae,dpy-1(mf19); cov-12(mf85) ,,MAF,
JU168,Oscheius tipulae,lin(mf87),"Outcrossed 2x to CEW1, 1x to PS2533 (sy474), 1x to CEW1, 1x to JU58 (mf43)Excess vulval divisions? TMP-UV allele.",MAF / Marie-Laure Dichtel,33.18.9.4
JU169,ÒProcephalobus sp.Ó ?,wild isolate,"Isolated by Marie Delattre in the Alcazar gardens in Sevilla, Spain under pine trees, Apr 00. Males + females.",Marie Delattre,
JU170,Oscheius tipulae,wild isolate,"Isolated by Marie Delattre in the Alcazar gardens in Sevilla, Spain, under orange trees.  Apr 00. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Marie Delattre,
JU171,Oscheius sp. 2,wild isolate,"Isolated by MAF in the garden in Primel Tr_gastel, Finistère, France. Apr 00. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",MAF,
JU172,Oscheius tipulae,cov-9(mf89),"P3.p competence. Outcrossed 3x to CEW1, 1x to JU58 (mf43) and 1x to CEW1. TMP-UV allele.  Louvet-Vall_e et al. Genetics 2003.",Marie Delattre / MAF,36.26.4.1
JU173,Oscheius tipulae,cov-9(mf89); unc-3(mf43),,MAF,
JU174,Oscheius tipulae,lin(mf88),Outcrossed 1x to CEW1. STRANGE SEGREGATION. Excess of vulval divisions. TMP-UV allele.,Marie-Laure Dichtel / MAF,32.3.3.2
JU175,Oscheius tipulae,unc-2(mf29); dov-1(sy543),,MAF,
JU176,Oscheius tipulae,unc-3(mf43); dov-1(sy543),,MAF,
JU177,Oscheius tipulae,wild isolate,"New York, July 00, Central Park, Corner of 110W and Central Park W Ave. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Sophie Jarriault / MAF,NY2.1
JU178,Oscheius tipulae,wild isolate,"New York, July 00, St John the Divine, Òleft of the ugly sculptureÓ. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001.",Sophie Jarriault / MAF,NY3.1
JU179,Oscheius sp. 2?,wild isolate,"Hermaphrodites + males. Meudon, June 00, next to iris, etc. left of the alley. Embryonic lethality. Similar ITS sequence but does not cross with PS2068. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001. ",MAF,1.8.1.4
JU181,Oscheius sp. 2,wild isolate,"Meudon, June 00, next to iris, etc. left of the alley. Same soil sample as JU179. F_lix et al. J. Nematol. 2001, Delattre & F_lix, Curr. Biol. 2001. ",MAF,1.1.1
JU182,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line A1",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,A1
JU183,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line A3",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,A3
JU184,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line A5",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,A5
JU185,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line A6",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,A6
JU186,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line A8",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,A8
JU187,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line A9",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,A9
JU188,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line A10",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,A10
JU189,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line A11",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,A11
JU190,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line A12",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,A12
JU191,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line B1",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,B1
JU192,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line B2(A)",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,B2(A)
JU193,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line B3",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,B3
JU194,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line B4",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,B4
JU195,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line B7",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,B7
JU196,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line B8",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,B8
JU197,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line B9",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,B9
JU198,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line C2",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,C2
JU199,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line C4",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,C4
JU200,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line C9",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,C9
JU201,Oscheius tipulae,"Recombinant inbred line CEW1 x PS959 males, 12 generations of selfing, line C12",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre / MAF,C12
JU202,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.1",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.1
JU203,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.2",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.2
JU204,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.3",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.3
JU205,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.4",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.4
JU206,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.5",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.5
JU207,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.6",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.6
JU208,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.7",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.7
JU209,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.8",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.8
JU210,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.9",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.9
JU211,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.10",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.1
JU212,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.11",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.11
JU213,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.12",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.12
JU214,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.13",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.13
JU215,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.14",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.14
JU216,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.15",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.15
JU217,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.16",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.16
JU218,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.17",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.17
JU219,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.18",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.18
JU220,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.19",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.19
JU221,Oscheius tipulae,"Recombinant inbred line, CEW1 x PS966 males, 12 generations of selfing, line 9.20",cf Delattre and F_lix Curr. Biol. 2001.,Marie Delattre,9.2
SB169,Oscheius insectivora,wild isolate,"Males + females. Delattre & F_lix, Curr. Biol. 2001. ",W. Sudhaus through David Fitch,
JU222,Oscheius tipulae,unc-2(mf29) into PS959 background by crossing 5 x into PS959,"cf Delattre and F_lix, Curr. Biol. 2001.",MAF,
JU223,Oscheius tipulae,unc-3(mf43) into PS959 background by crossing 7 x into PS959,"cf Delattre and F_lix, Curr. Biol. 2001.",MAF,
JU224,Caenorhabditis angaria,mfEx1[sur-5::GFP],Injection of pTG96 into Caenorhabditis angaria PS1010. Maintain by picking GFP worms.,MAF,11.3
JU225,Caenorhabditis brenneri,mfEx2[sur-5::gfp + rol-6d],Injection of  pTG96 + pRF4 into Caenorhabditis brenneri CB5161. May be integrated: all Rol and GFP.,MAF,9.4
JU226,Caenorhabditis brenneri,mfEx3[sur-5::GFP],Injection of  pTG96 into Caenorhabditis brenneri CB5161. Maintain by picking GFP worms.,MAF,8.1
JU227,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 5.1",,Thomas Pocard,5.1
JU228,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 5.2",,Thomas Pocard,5.2
JU229,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 5.3",,Thomas Pocard,5.3
JU230,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 5.4",,Thomas Pocard,5.4
JU231,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 5.5",,Thomas Pocard,5.5
JU232,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 5.6",,Thomas Pocard,5.6
JU233,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 7.2",,Thomas Pocard,7.2
JU234,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 7.3",,Thomas Pocard,7.3
JU235,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 7.4",,Thomas Pocard,7.4
JU236,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 7.5",,Thomas Pocard,7.5
JU237,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line7.6",,Thomas Pocard,7.6
JU238,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 10.1",,Thomas Pocard,10.1
JU239,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 10.3",,Thomas Pocard,10.3
JU240,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 10.4",,Thomas Pocard,10.4
JU241,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 10.5",,Thomas Pocard,10.5
JU242,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 12.1",,Thomas Pocard,12.1
JU243,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 12.2",,Thomas Pocard,12.2
JU244,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 12.3",,Thomas Pocard,12.3
JU245,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 12.4",,Thomas Pocard,12.4
JU246,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 12.5",,Thomas Pocard,12.5
JU247,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 12.6",,Thomas Pocard,12.6
JU248,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 15.1",,Thomas Pocard,15.1
JU249,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 15.2",,Thomas Pocard,15.2
JU250,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 15.3",,Thomas Pocard,15.3
JU251,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 15.4",,Thomas Pocard,15.4
JU252,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 15.5",,Thomas Pocard,15.5
JU253,Caenorhabditis elegans,"Recombinant inbred line, N2 x CB4857 males, 18 generations of selfing, line 15.6",,Thomas Pocard,15.6
JU257,Pristionchus sp.,wild isolate,"Males + females. Nord of Etrechy garden, France.",E. Pierre,91
JU258,Caenorhabditis elegans,wild isolate,"From Madeira Island, Portugal, Oct 01. Ribeiro  Frio  1.1. Along a path through an orchard.",MAF,M 1.1
JU259,Oscheius tipulae,wild isolate, Madeira 2.1-Sao Vincente. Oct 2001.,MAF,M 2.1
JU260,Oscheius tipulae,wild isolate, Madeira 3.1. Reis Magos beach. Oct 2001.,MAF,M 3.1
JU261,Caenorhabditis elegans,phm-2(ad597); unc-119(ed3),,MAF,
JU262,Caenorhabditis elegans,wild isolate,"Vegetable garden in Le Blanc, Indre, France, 3 Nov 01. Vegetable garbage pile. Same soil sample as JU263.",MAF,B 2.2
JU263,Caenorhabditis elegans,wild isolate,"Vegetable garden in Le Blanc, Indre, France, 3 Nov 01. Vegetable garbage pile. Same soil sample as JU262.",MAF,B 2.1
JU264,Oscheius tipulae,wild isolate,"Vegetable garden in Le Blanc, Indre, France, 3 Nov 01. Vegetable garbage pile. Same soil sample as JU265.",MAF,B 2.4
JU265,Oscheius tipulae,wild isolate,"Vegetable garden in Le Blanc, Indre, France, 3 Nov 01. Vegetable garbage pile. Same soil sample as JU264.",MAF,B 2.6
JU266,Oscheius tipulae,wild isolate,"Vegetable garden in Le Blanc, Indre, France, 3 Nov 01. Lettuce beds. Same soil sample as JU267 and JU268.",MAF,B 3.1
JU267,Oscheius tipulae,wild isolate,"Vegetable garden in Le Blanc, Indre, France, 3 Nov 01. Lettuce beds. Same soil sample as JU266 and JU268.",MAF,B 3.3
JU268,Oscheius tipulae,wild isolate,"Vegetable garden in Le Blanc, Indre, France, 3 Nov 01. Lettuce beds. Same soil sample as JU266 and JU267.",MAF,B 3.4
